CODIGO;DESCRICAO;  CUSTO   
300646; MARROM MONO LAM 4695-C  17/22 ; 24,74 
300647; OCRE MONO LAM 131-C 15/08 ; 25,54 
300648; OCRE MONO LAM 720-C 15/35 ; 20,49 
300649; OCRE MONO LAM 117-C  14/3 ; 5,63 
300650; OCRE MONO LAM 112-C ; 23,60 
300651; OURO MONO LAM WALERIUS-C ; 21,28 
300652; OURO FLINT LAM TIO JOÃO-C  148 ; 49,93 
300653; OURO LAM INTEGRAL CORADINI-C  23/3 ; 30,23 
300654; OURO MONO LAM BUTUI-C  14/20 ; 34,53 
300655; OURO MONO LAM 871-C  14/21 ; 33,58 
300656; OURO MONO LAM 872-C ; 32,69 
300657; OURO MONO LAM NUTRELLA-C ; 16,46 
300658; OURO MONO LAM 873-C ; 27,12 
300659; OURO MONO LAM 8941-C ; 14,62 
300660; PRATA MONO LAM 877-C  9/39 ; 44,10 
300661; PRATA MONO LAM 8201-C ; 18,41 
300662; ROSA MONO LAM 487-C  43 ; 21,32 
300663; ROSA MONO LAM KISS DOG-C ; 52,47 
300664; ROSA MONO LAM 233-C ; 22,13 
300665; AZUL EXTERNO CLEAN(P2747) ; 35,25 
300666; ROSA MONO LAM 675-C ; 23,09 
300668; ROSA MONO LAM 182-C 27/4 ; 14,54 
